date,exmn_ymd,item_cd,mrkt_cd,ctgry_cd,ctgry_nm,item_nm,price_type,split,log_price,price
2025-01-09,20250109,112,210022,100,식량작물,찹쌀,wholesale,test,11.82602835237326,137000.0
2025-01-10,20250110,112,210022,100,식량작물,찹쌀,wholesale,test,11.82602835237326,137000.0
2025-01-13,20250113,112,210022,100,식량작물,찹쌀,wholesale,test,11.82602835237326,137000.0
2024-01-02,20240102,112,210401,100,식량작물,찹쌀,retail,train,8.003028666384733,2990.0
2025-01-02,20250102,112,210401,100,식량작물,찹쌀,retail,test,8.29154650988391,3990.0
2024-01-02,20240102,112,210402,100,식량작물,찹쌀,retail,train,8.196987927258897,3630.0
2025-01-02,20250102,112,210402,100,식량작물,찹쌀,retail,test,8.509161019718974,4960.0
2024-01-02,20240102,112,210404,100,식량작물,찹쌀,retail,train,8.433811582477187,4600.0
2025-01-02,20250102,112,210404,100,식량작물,찹쌀,retail,test,8.630521876723241,5600.0
2024-01-02,20240102,112,220023,100,식량작물,찹쌀,wholesale,train,11.508334451932786,99600.0
2024-01-03,20240103,112,220023,100,식량작물,찹쌀,wholesale,train,11.508334451932786,99600.0
2024-01-04,20240104,112,220023,100,식량작물,찹쌀,wholesale,train,11.508334451932786,99600.0
2024-01-05,20240105,112,220023,100,식량작물,찹쌀,wholesale,train,11.508334451932786,99600.0
2024-01-08,20240108,112,220023,100,식량작물,찹쌀,wholesale,train,11.508334451932786,99600.0
2024-01-09,20240109,112,220023,100,식량작물,찹쌀,wholesale,train,11.508334451932786,99600.0
2024-01-10,20240110,112,220023,100,식량작물,찹쌀,wholesale,train,11.508334451932786,99600.0
2025-01-02,20250102,112,220023,100,식량작물,찹쌀,wholesale,test,11.85560896159072,141000.0
2025-01-03,20250103,112,220023,100,식량작물,찹쌀,wholesale,test,11.85560896159072,141000.0
2025-01-06,20250106,112,220023,100,식량작물,찹쌀,wholesale,test,11.85560896159072,141000.0
2025-01-07,20250107,112,220023,100,식량작물,찹쌀,wholesale,test,11.85560896159072,141000.0
2025-01-08,20250108,112,220023,100,식량작물,찹쌀,wholesale,test,11.85560896159072,141000.0
2025-01-09,20250109,112,220023,100,식량작물,찹쌀,wholesale,test,11.85899880508341,141500.0
2025-01-10,20250110,112,220023,100,식량작물,찹쌀,wholesale,test,11.85899880508341,141500.0
2025-01-13,20250113,112,220023,100,식량작물,찹쌀,wholesale,test,11.85899880508341,141500.0
2024-01-02,20240102,112,220024,100,식량작물,찹쌀,retail,train,8.146129510025405,3450.0
2025-01-02,20250102,112,220024,100,식량작물,찹쌀,retail,test,8.507142855562735,4950.0
2024-01-02,20240102,112,220403,100,식량작물,찹쌀,retail,train,8.003028666384733,2990.0
2025-01-02,20250102,112,220403,100,식량작물,찹쌀,retail,test,8.29154650988391,3990.0
2024-01-02,20240102,112,220404,100,식량작물,찹쌀,retail,train,8.110727582974489,3330.0
2025-01-02,20250102,112,220404,100,식량작물,찹쌀,retail,test,8.373322820996535,4330.0
2024-01-02,20240102,112,230036,100,식량작물,찹쌀,retail,train,8.169053149927343,3530.0
2025-01-02,20250102,112,230036,100,식량작물,찹쌀,retail,test,8.542860938164814,5130.0
2024-01-02,20240102,112,230401,100,식량작물,찹쌀,retail,train,8.226840890408578,3740.0
2025-01-02,20250102,112,230401,100,식량작물,찹쌀,retail,test,8.373322820996535,4330.0
2024-01-02,20240102,112,240121,100,식량작물,찹쌀,retail,train,8.24800570160062,3820.0
2024-01-02,20240102,112,240121,100,식량작물,찹쌀,wholesale,train,11.489264343923022,97800.0
2024-01-03,20240103,112,240121,100,식량작물,찹쌀,wholesale,train,11.489264343923022,97800.0
2024-01-04,20240104,112,240121,100,식량작물,찹쌀,wholesale,train,11.489264343923022,97800.0
2024-01-05,20240105,112,240121,100,식량작물,찹쌀,wholesale,train,11.489264343923022,97800.0
2024-01-08,20240108,112,240121,100,식량작물,찹쌀,wholesale,train,11.489264343923022,97800.0
2024-01-09,20240109,112,240121,100,식량작물,찹쌀,wholesale,train,11.489264343923022,97800.0
2024-01-10,20240110,112,240121,100,식량작물,찹쌀,wholesale,train,11.489264343923022,97800.0
2025-01-02,20250102,112,240121,100,식량작물,찹쌀,retail,test,8.411832675758411,4500.0
2025-01-02,20250102,112,240121,100,식량작물,찹쌀,wholesale,test,11.832376547824003,138000.0
2025-01-03,20250103,112,240121,100,식량작물,찹쌀,wholesale,test,11.832376547824003,138000.0
2025-01-06,20250106,112,240121,100,식량작물,찹쌀,wholesale,test,11.832376547824003,138000.0
2025-01-07,20250107,112,240121,100,식량작물,찹쌀,wholesale,test,11.832376547824003,138000.0
2025-01-08,20250108,112,240121,100,식량작물,찹쌀,wholesale,test,11.832376547824003,138000.0
